  Matrix elements < ab | V | cd> in mscheme
 Legend: a  b  c  d and  < ab | V | cd>
   3  17   7  13     -.358965E+00
   3  17   7  17     -.280779E+00
   3  17   9   3     0.652650E+00
   3  17   9   7     0.278025E+00
   3  17   9  11     0.000000E+00
   3  17   9  15     -.699775E-01
   3  17  11   1     0.652650E+00
   3  17  11   5     0.278025E+00
   3  17  11   9     0.000000E+00
   3  17  11  13     -.699775E-01
   3  17  13   3     0.815459E+00
   3  17  13   7     0.358965E+00
   3  17  13  11     0.699775E-01
   3  17  15   1     0.815459E+00
   3  17  15   5     0.358965E+00
   3  17  15   9     0.699775E-01
   3  17  17   3     0.827531E+00
   3  17  17   7     0.280779E+00
   3  17  19   1     0.827531E+00
   3  17  19   5     0.280779E+00
   3  17  21   3     0.691397E+00
   3  17  23   1     0.691397E+00
   3  21   1   3     0.000000E+00
   3  21   1   7     -.116158E+00
   3  21   1  11     -.337787E+00
   3  21   1  15     -.594199E+00
   3  21   1  19     -.691397E+00
   3  21   1  23     -.694374E+00
   3  21   3   1     0.000000E+00
   3  21   3   5     -.116158E+00
   3  21   3   9     -.337787E+00
   3  21   3  13     -.594199E+00
   3  21   3  17     -.691397E+00
   3  21   3  21     -.694374E+00
   3  21   5   3     0.116158E+00
   3  21   5   7     0.000000E+00
   3  21   5  11     -.266463E+00
   3  21   5  15     -.320018E+00
   3  21   5  19     -.296515E+00
   3  21   7   1     0.116158E+00
   3  21   7   5     0.000000E+00
   3  21   7   9     -.266463E+00
   3  21   7  13     -.320018E+00
   3  21   7  17     -.296515E+00
   3  21   9   3     0.337787E+00
   3  21   9   7     0.266463E+00
   3  21   9  11     0.000000E+00
   3  21   9  15     -.116604E+00
   3  21  11   1     0.337787E+00
   3  21  11   5     0.266463E+00
   3  21  11   9     0.000000E+00
   3  21  11  13     -.116604E+00
   3  21  13   3     0.594199E+00
   3  21  13   7     0.320018E+00
   3  21  13  11     0.116604E+00
   3  21  15   1     0.594199E+00
   3  21  15   5     0.320018E+00
   3  21  15   9     0.116604E+00
   3  21  17   3     0.691397E+00
   3  21  17   7     0.296515E+00
   3  21  19   1     0.691397E+00
   3  21  19   5     0.296515E+00
   3  21  21   3     0.694374E+00
   3  21  23   1     0.694374E+00
   5   3   1   3     0.000000E+00
   5   3   1   7     0.181686E+01
   5   3   1  11     0.888018E+00
   5   3   1  15     0.549980E+00
   5   3   1  19     0.230075E+00
   5   3   1  23     0.116158E+00
   5   3   3   1     0.000000E+00
   5   3   3   5     0.181686E+01
   5   3   3   9     0.888018E+00
   5   3   3  13     0.549980E+00
   5   3   3  17     0.230075E+00
   5   3   3  21     0.116158E+00
   5   3   5   3     -.181686E+01
   5   3   5   7     0.000000E+00
   5   3   5  11     0.485037E+00
   5   3   5  15     0.398502E+00
   5   3   5  19     0.298416E+00
   5   3   7   1     -.181686E+01
   5   3   7   5     0.000000E+00
   5   3   7   9     0.485037E+00
   5   3   7  13     0.398502E+00
   5   3   7  17     0.298416E+00
   5   3   9   3     -.888018E+00
   5   3   9   7     -.485037E+00
   5   3   9  11     0.000000E+00
   5   3   9  15     0.188735E+00
   5   3  11   1     -.888018E+00
   5   3  11   5     -.485037E+00
   5   3  11   9     0.000000E+00
   5   3  11  13     0.188735E+00
   5   3  13   3     -.549980E+00
   5   3  13   7     -.398502E+00
   5   3  13  11     -.188735E+00
   5   3  15   1     -.549980E+00
   5   3  15   5     -.398502E+00
   5   3  15   9     -.188735E+00
   5   3  17   3     -.230075E+00
   5   3  17   7     -.298416E+00
   5   3  19   1     -.230075E+00
   5   3  19   5     -.298416E+00
   5   3  21   3     -.116158E+00
   5   3  23   1     -.116158E+00
   5   7   1   3     0.000000E+00
   5   7   1   7     0.000000E+00
   5   7   1  11     0.000000E+00
   5   7   1  15     0.000000E+00
   5   7   1  19     0.000000E+00
   5   7   1  23     0.000000E+00
   5   7   3   1     0.000000E+00
   5   7   3   5     0.000000E+00
   5   7   3   9     0.000000E+00
   5   7   3  13     0.000000E+00
   5   7   3  17     0.000000E+00
   5   7   3  21     0.000000E+00
   5   7   5   3     0.000000E+00
   5   7   5   7     0.000000E+00
   5   7   5  11     0.000000E+00
   5   7   5  15     0.000000E+00
   5   7   5  19     0.000000E+00
   5   7   7   1     0.000000E+00
   5   7   7   5     0.000000E+00
   5   7   7   9     0.000000E+00
   5   7   7  13     0.000000E+00
   5   7   7  17     0.000000E+00
   5   7   9   3     0.000000E+00
   5   7   9   7     0.000000E+00
   5   7   9  11     0.000000E+00
   5   7   9  15     0.000000E+00
   5   7  11   1     0.000000E+00
   5   7  11   5     0.000000E+00
   5   7  11   9     0.000000E+00
   5   7  11  13     0.000000E+00
   5   7  13   3     0.000000E+00
   5   7  13   7     0.000000E+00
   5   7  13  11     0.000000E+00
   5   7  15   1     0.000000E+00
   5   7  15   5     0.000000E+00
   5   7  15   9     0.000000E+00
   5   7  17   3     0.000000E+00
   5   7  17   7     0.000000E+00
   5   7  19   1     0.000000E+00
   5   7  19   5     0.000000E+00
   5   7  21   3     0.000000E+00
   5   7  23   1     0.000000E+00
   5  11   1   3     0.000000E+00
   5  11   1   7     -.485037E+00
   5  11   1  11     -.177390E+00
   5  11   1  15     -.386287E+00
   5  11   1  19     -.278025E+00
   5  11   1  23     -.266463E+00
   5  11   3   1     0.000000E+00
   5  11   3   5     -.485037E+00
   5  11   3   9     -.177390E+00
   5  11   3  13     -.386287E+00
   5  11   3  17     -.278025E+00
   5  11   3  21     -.266463E+00
   5  11   5   3     0.485037E+00
   5  11   5   7     0.000000E+00
   5  11   5  11     -.471359E+00
   5  11   5  15     -.221855E+00
   5  11   5  19     -.127019E+00
   5  11   7   1     0.485037E+00
   5  11   7   5     0.000000E+00
   5  11   7   9     -.471359E+00
   5  11   7  13     -.221855E+00
   5  11   7  17     -.127019E+00
   5  11   9   3     0.177390E+00
   5  11   9   7     0.471359E+00
   5  11   9  11     0.000000E+00
   5  11   9  15     -.197348E+00
   5  11  11   1     0.177390E+00
   5  11  11   5     0.471359E+00
   5  11  11   9     0.000000E+00
   5  11  11  13     -.197348E+00
   5  11  13   3     0.386287E+00
   5  11  13   7     0.221855E+00
   5  11  13  11     0.197348E+00
   5  11  15   1     0.386287E+00
   5  11  15   5     0.221855E+00
   5  11  15   9     0.197348E+00
   5  11  17   3     0.278025E+00
   5  11  17   7     0.127019E+00
   5  11  19   1     0.278025E+00
   5  11  19   5     0.127019E+00
   5  11  21   3     0.266463E+00
   5  11  23   1     0.266463E+00
   5  15   1   3     0.000000E+00
   5  15   1   7     -.398502E+00
   5  15   1  11     -.327126E+00
   5  15   1  15     -.271303E+00
   5  15   1  19     -.358965E+00
   5  15   1  23     -.320018E+00
   5  15   3   1     0.000000E+00
   5  15   3   5     -.398502E+00
   5  15   3   9     -.327126E+00
   5  15   3  13     -.271303E+00
   5  15   3  17     -.358965E+00
   5  15   3  21     -.320018E+00
   5  15   5   3     0.398502E+00
   5  15   5   7     0.000000E+00
   5  15   5  11     -.221855E+00
   5  15   5  15     -.554472E+00
   5  15   5  19     -.341391E+00
   5  15   7   1     0.398502E+00
   5  15   7   5     0.000000E+00
   5  15   7   9     -.221855E+00
   5  15   7  13     -.554472E+00
   5  15   7  17     -.341391E+00
   5  15   9   3     0.327126E+00
   5  15   9   7     0.221855E+00
   5  15   9  11     0.000000E+00
   5  15   9  15     -.783060E-01
   5  15  11   1     0.327126E+00
   5  15  11   5     0.221855E+00
   5  15  11   9     0.000000E+00
   5  15  11  13     -.783060E-01
   5  15  13   3     0.271303E+00
   5  15  13   7     0.554472E+00
   5  15  13  11     0.783060E-01
   5  15  15   1     0.271303E+00
   5  15  15   5     0.554472E+00
   5  15  15   9     0.783060E-01
   5  15  17   3     0.358965E+00
   5  15  17   7     0.341391E+00
   5  15  19   1     0.358965E+00
   5  15  19   5     0.341391E+00
   5  15  21   3     0.320018E+00
   5  15  23   1     0.320018E+00
   5  19   1   3     0.000000E+00
   5  19   1   7     -.298416E+00
   5  19   1  11     -.363721E+00
   5  19   1  15     -.289706E+00
   5  19   1  19     -.280779E+00
   5  19   1  23     -.296515E+00
   5  19   3   1     0.000000E+00
   5  19   3   5     -.298416E+00
   5  19   3   9     -.363721E+00
   5  19   3  13     -.289706E+00
   5  19   3  17     -.280779E+00
   5  19   3  21     -.296515E+00
   5  19   5   3     0.298416E+00
   5  19   5   7     0.000000E+00
   5  19   5  11     -.127019E+00
   5  19   5  15     -.341391E+00
   5  19   5  19     -.512089E+00
   5  19   7   1     0.298416E+00
   5  19   7   5     0.000000E+00
   5  19   7   9     -.127019E+00
   5  19   7  13     -.341391E+00
   5  19   7  17     -.512089E+00
   5  19   9   3     0.363721E+00
   5  19   9   7     0.127019E+00
   5  19   9  11     0.000000E+00
   5  19   9  15     -.199175E+00
   5  19  11   1     0.363721E+00
   5  19  11   5     0.127019E+00
   5  19  11   9     0.000000E+00
   5  19  11  13     -.199175E+00
   5  19  13   3     0.289706E+00
   5  19  13   7     0.341391E+00
   5  19  13  11     0.199175E+00
   5  19  15   1     0.289706E+00
   5  19  15   5     0.341391E+00
   5  19  15   9     0.199175E+00
   5  19  17   3     0.280779E+00
   5  19  17   7     0.512089E+00
   5  19  19   1     0.280779E+00
   5  19  19   5     0.512089E+00
   5  19  21   3     0.296515E+00
   5  19  23   1     0.296515E+00
   7   1   1   3     0.000000E+00
   7   1   1   7     0.181686E+01
   7   1   1  11     0.888018E+00
   7   1   1  15     0.549980E+00
   7   1   1  19     0.230075E+00
   7   1   1  23     0.116158E+00
   7   1   3   1     0.000000E+00
   7   1   3   5     0.181686E+01
   7   1   3   9     0.888018E+00
   7   1   3  13     0.549980E+00
   7   1   3  17     0.230075E+00
   7   1   3  21     0.116158E+00
   7   1   5   3     -.181686E+01
   7   1   5   7     0.000000E+00
   7   1   5  11     0.485037E+00
   7   1   5  15     0.398502E+00
   7   1   5  19     0.298416E+00
   7   1   7   1     -.181686E+01
   7   1   7   5     0.000000E+00
   7   1   7   9     0.485037E+00
   7   1   7  13     0.398502E+00
   7   1   7  17     0.298416E+00
   7   1   9   3     -.888018E+00
   7   1   9   7     -.485037E+00
   7   1   9  11     0.000000E+00
   7   1   9  15     0.188735E+00
   7   1  11   1     -.888018E+00
   7   1  11   5     -.485037E+00
   7   1  11   9     0.000000E+00
   7   1  11  13     0.188735E+00
   7   1  13   3     -.549980E+00
   7   1  13   7     -.398502E+00
   7   1  13  11     -.188735E+00
   7   1  15   1     -.549980E+00
   7   1  15   5     -.398502E+00
   7   1  15   9     -.188735E+00
   7   1  17   3     -.230075E+00
   7   1  17   7     -.298416E+00
   7   1  19   1     -.230075E+00
   7   1  19   5     -.298416E+00
   7   1  21   3     -.116158E+00
   7   1  23   1     -.116158E+00
   7   5   1   3     0.000000E+00
   7   5   1   7     0.000000E+00
   7   5   1  11     0.000000E+00
   7   5   1  15     0.000000E+00
   7   5   1  19     0.000000E+00
   7   5   1  23     0.000000E+00
   7   5   3   1     0.000000E+00
   7   5   3   5     0.000000E+00
   7   5   3   9     0.000000E+00
   7   5   3  13     0.000000E+00
   7   5   3  17     0.000000E+00
   7   5   3  21     0.000000E+00
   7   5   5   3     0.000000E+00
   7   5   5   7     0.000000E+00
   7   5   5  11     0.000000E+00
   7   5   5  15     0.000000E+00
   7   5   5  19     0.000000E+00
   7   5   7   1     0.000000E+00
   7   5   7   5     0.000000E+00
   7   5   7   9     0.000000E+00
   7   5   7  13     0.000000E+00
   7   5   7  17     0.000000E+00
   7   5   9   3     0.000000E+00
   7   5   9   7     0.000000E+00
   7   5   9  11     0.000000E+00
   7   5   9  15     0.000000E+00
   7   5  11   1     0.000000E+00
   7   5  11   5     0.000000E+00
   7   5  11   9     0.000000E+00
   7   5  11  13     0.000000E+00
   7   5  13   3     0.000000E+00
   7   5  13   7     0.000000E+00
   7   5  13  11     0.000000E+00
   7   5  15   1     0.000000E+00
   7   5  15   5     0.000000E+00
   7   5  15   9     0.000000E+00
   7   5  17   3     0.000000E+00
   7   5  17   7     0.000000E+00
   7   5  19   1     0.000000E+00
   7   5  19   5     0.000000E+00
   7   5  21   3     0.000000E+00
   7   5  23   1     0.000000E+00
   7   9   1   3     0.000000E+00
   7   9   1   7     -.485037E+00
   7   9   1  11     -.177390E+00
   7   9   1  15     -.386287E+00
   7   9   1  19     -.278025E+00
   7   9   1  23     -.266463E+00
   7   9   3   1     0.000000E+00
   7   9   3   5     -.485037E+00
   7   9   3   9     -.177390E+00
   7   9   3  13     -.386287E+00
   7   9   3  17     -.278025E+00
   7   9   3  21     -.266463E+00
   7   9   5   3     0.485037E+00
   7   9   5   7     0.000000E+00
   7   9   5  11     -.471359E+00
   7   9   5  15     -.221855E+00
   7   9   5  19     -.127019E+00
   7   9   7   1     0.485037E+00
   7   9   7   5     0.000000E+00
   7   9   7   9     -.471359E+00
   7   9   7  13     -.221855E+00
   7   9   7  17     -.127019E+00
   7   9   9   3     0.177390E+00
   7   9   9   7     0.471359E+00
   7   9   9  11     0.000000E+00
   7   9   9  15     -.197348E+00
   7   9  11   1     0.177390E+00
   7   9  11   5     0.471359E+00
   7   9  11   9     0.000000E+00
   7   9  11  13     -.197348E+00
   7   9  13   3     0.386287E+00
   7   9  13   7     0.221855E+00
   7   9  13  11     0.197348E+00
   7   9  15   1     0.386287E+00
   7   9  15   5     0.221855E+00
   7   9  15   9     0.197348E+00
   7   9  17   3     0.278025E+00
   7   9  17   7     0.127019E+00
   7   9  19   1     0.278025E+00
   7   9  19   5     0.127019E+00
   7   9  21   3     0.266463E+00
   7   9  23   1     0.266463E+00
   7  13   1   3     0.000000E+00
   7  13   1   7     -.398502E+00
   7  13   1  11     -.327126E+00
   7  13   1  15     -.271303E+00
   7  13   1  19     -.358965E+00
   7  13   1  23     -.320018E+00
   7  13   3   1     0.000000E+00
   7  13   3   5     -.398502E+00
   7  13   3   9     -.327126E+00
   7  13   3  13     -.271303E+00
   7  13   3  17     -.358965E+00
   7  13   3  21     -.320018E+00
   7  13   5   3     0.398502E+00
   7  13   5   7     0.000000E+00
   7  13   5  11     -.221855E+00
   7  13   5  15     -.554472E+00
   7  13   5  19     -.341391E+00
   7  13   7   1     0.398502E+00
   7  13   7   5     0.000000E+00
   7  13   7   9     -.221855E+00
   7  13   7  13     -.554472E+00
   7  13   7  17     -.341391E+00
   7  13   9   3     0.327126E+00
   7  13   9   7     0.221855E+00
   7  13   9  11     0.000000E+00
   7  13   9  15     -.783060E-01
   7  13  11   1     0.327126E+00
   7  13  11   5     0.221855E+00
   7  13  11   9     0.000000E+00
   7  13  11  13     -.783060E-01
   7  13  13   3     0.271303E+00
   7  13  13   7     0.554472E+00
   7  13  13  11     0.783060E-01
   7  13  15   1     0.271303E+00
   7  13  15   5     0.554472E+00
   7  13  15   9     0.783060E-01
   7  13  17   3     0.358965E+00
   7  13  17   7     0.341391E+00
   7  13  19   1     0.358965E+00
   7  13  19   5     0.341391E+00
   7  13  21   3     0.320018E+00
   7  13  23   1     0.320018E+00
   7  17   1   3     0.000000E+00
   7  17   1   7     -.298416E+00
   7  17   1  11     -.363721E+00
   7  17   1  15     -.289706E+00
   7  17   1  19     -.280779E+00
   7  17   1  23     -.296515E+00
   7  17   3   1     0.000000E+00
   7  17   3   5     -.298416E+00
   7  17   3   9     -.363721E+00
   7  17   3  13     -.289706E+00
   7  17   3  17     -.280779E+00
   7  17   3  21     -.296515E+00
   7  17   5   3     0.298416E+00
   7  17   5   7     0.000000E+00
   7  17   5  11     -.127019E+00
   7  17   5  15     -.341391E+00
   7  17   5  19     -.512089E+00
   7  17   7   1     0.298416E+00
   7  17   7   5     0.000000E+00
   7  17   7   9     -.127019E+00
   7  17   7  13     -.341391E+00
   7  17   7  17     -.512089E+00
   7  17   9   3     0.363721E+00
   7  17   9   7     0.127019E+00
   7  17   9  11     0.000000E+00
   7  17   9  15     -.199175E+00
   7  17  11   1     0.363721E+00
   7  17  11   5     0.127019E+00
   7  17  11   9     0.000000E+00
   7  17  11  13     -.199175E+00
   7  17  13   3     0.289706E+00
   7  17  13   7     0.341391E+00
   7  17  13  11     0.199175E+00
   7  17  15   1     0.289706E+00
   7  17  15   5     0.341391E+00
   7  17  15   9     0.199175E+00
   7  17  17   3     0.280779E+00
   7  17  17   7     0.512089E+00
   7  17  19   1     0.280779E+00
   7  17  19   5     0.512089E+00
   7  17  21   3     0.296515E+00
   7  17  23   1     0.296515E+00
   9   3   1   3     0.000000E+00
   9   3   1   7     0.888018E+00
   9   3   1  11     0.136922E+01
   9   3   1  15     0.936490E+00
   9   3   1  19     0.652650E+00
   9   3   1  23     0.337787E+00
   9   3   3   1     0.000000E+00
   9   3   3   5     0.888018E+00
   9   3   3   9     0.136922E+01
   9   3   3  13     0.936490E+00
   9   3   3  17     0.652650E+00
   9   3   3  21     0.337787E+00
   9   3   5   3     -.888018E+00
   9   3   5   7     0.000000E+00
   9   3   5  11     0.177390E+00
   9   3   5  15     0.327126E+00
   9   3   5  19     0.363721E+00
   9   3   7   1     -.888018E+00
   9   3   7   5     0.000000E+00
   9   3   7   9     0.177390E+00
   9   3   7  13     0.327126E+00
   9   3   7  17     0.363721E+00
   9   3   9   3     -.136922E+01
   9   3   9   7     -.177390E+00
   9   3   9  11     0.000000E+00
   9   3   9  15     0.706368E-01
   9   3  11   1     -.136922E+01
   9   3  11   5     -.177390E+00
   9   3  11   9     0.000000E+00
   9   3  11  13     0.706368E-01
   9   3  13   3     -.936490E+00
   9   3  13   7     -.327126E+00
   9   3  13  11     -.706368E-01
   9   3  15   1     -.936490E+00
   9   3  15   5     -.327126E+00
   9   3  15   9     -.706368E-01
   9   3  17   3     -.652650E+00
   9   3  17   7     -.363721E+00
   9   3  19   1     -.652650E+00
   9   3  19   5     -.363721E+00
   9   3  21   3     -.337787E+00
   9   3  23   1     -.337787E+00
   9   7   1   3     0.000000E+00
   9   7   1   7     0.485037E+00
   9   7   1  11     0.177390E+00
   9   7   1  15     0.386287E+00
   9   7   1  19     0.278025E+00
   9   7   1  23     0.266463E+00
   9   7   3   1     0.000000E+00
   9   7   3   5     0.485037E+00
   9   7   3   9     0.177390E+00
   9   7   3  13     0.386287E+00
   9   7   3  17     0.278025E+00
   9   7   3  21     0.266463E+00
   9   7   5   3     -.485037E+00
   9   7   5   7     0.000000E+00
   9   7   5  11     0.471359E+00
   9   7   5  15     0.221855E+00
   9   7   5  19     0.127019E+00
   9   7   7   1     -.485037E+00
   9   7   7   5     0.000000E+00
   9   7   7   9     0.471359E+00
   9   7   7  13     0.221855E+00
   9   7   7  17     0.127019E+00
   9   7   9   3     -.177390E+00
   9   7   9   7     -.471359E+00
   9   7   9  11     0.000000E+00
   9   7   9  15     0.197348E+00
   9   7  11   1     -.177390E+00
   9   7  11   5     -.471359E+00
   9   7  11   9     0.000000E+00
   9   7  11  13     0.197348E+00
   9   7  13   3     -.386287E+00
   9   7  13   7     -.221855E+00
   9   7  13  11     -.197348E+00
   9   7  15   1     -.386287E+00
   9   7  15   5     -.221855E+00
   9   7  15   9     -.197348E+00
   9   7  17   3     -.278025E+00
   9   7  17   7     -.127019E+00
   9   7  19   1     -.278025E+00
   9   7  19   5     -.127019E+00
   9   7  21   3     -.266463E+00
   9   7  23   1     -.266463E+00
   9  11   1   3     0.000000E+00
   9  11   1   7     0.000000E+00
   9  11   1  11     0.000000E+00
   9  11   1  15     0.000000E+00
   9  11   1  19     0.000000E+00
   9  11   1  23     0.000000E+00
   9  11   3   1     0.000000E+00
   9  11   3   5     0.000000E+00
   9  11   3   9     0.000000E+00
   9  11   3  13     0.000000E+00
   9  11   3  17     0.000000E+00
   9  11   3  21     0.000000E+00
   9  11   5   3     0.000000E+00
   9  11   5   7     0.000000E+00
   9  11   5  11     0.000000E+00
   9  11   5  15     0.000000E+00
   9  11   5  19     0.000000E+00
   9  11   7   1     0.000000E+00
   9  11   7   5     0.000000E+00
   9  11   7   9     0.000000E+00
   9  11   7  13     0.000000E+00
   9  11   7  17     0.000000E+00
   9  11   9   3     0.000000E+00
   9  11   9   7     0.000000E+00
   9  11   9  11     0.000000E+00
   9  11   9  15     0.000000E+00
   9  11  11   1     0.000000E+00
   9  11  11   5     0.000000E+00
   9  11  11   9     0.000000E+00
   9  11  11  13     0.000000E+00
   9  11  13   3     0.000000E+00
   9  11  13   7     0.000000E+00
   9  11  13  11     0.000000E+00
   9  11  15   1     0.000000E+00
   9  11  15   5     0.000000E+00
   9  11  15   9     0.000000E+00
   9  11  17   3     0.000000E+00
   9  11  17   7     0.000000E+00
   9  11  19   1     0.000000E+00
   9  11  19   5     0.000000E+00
   9  11  21   3     0.000000E+00
   9  11  23   1     0.000000E+00
   9  15   1   3     0.000000E+00
   9  15   1   7     -.188735E+00
   9  15   1  11     -.706368E-01
   9  15   1  15     -.124707E+00
   9  15   1  19     -.699775E-01
   9  15   1  23     -.116604E+00
   9  15   3   1     0.000000E+00
   9  15   3   5     -.188735E+00
   9  15   3   9     -.706368E-01
   9  15   3  13     -.124707E+00
   9  15   3  17     -.699775E-01
   9  15   3  21     -.116604E+00
   9  15   5   3     0.188735E+00
   9  15   5   7     0.000000E+00
   9  15   5  11     -.197348E+00
   9  15   5  15     -.783060E-01
   9  15   5  19     -.199175E+00
   9  15   7   1     0.188735E+00
   9  15   7   5     0.000000E+00
   9  15   7   9     -.197348E+00
   9  15   7  13     -.783060E-01
   9  15   7  17     -.199175E+00
   9  15   9   3     0.706368E-01
   9  15   9   7     0.197348E+00
   9  15   9  11     0.000000E+00
   9  15   9  15     -.212430E+00
   9  15  11   1     0.706368E-01
   9  15  11   5     0.197348E+00
   9  15  11   9     0.000000E+00
   9  15  11  13     -.212430E+00
   9  15  13   3     0.124707E+00
   9  15  13   7     0.783060E-01
   9  15  13  11     0.212430E+00
   9  15  15   1     0.124707E+00
   9  15  15   5     0.783060E-01
   9  15  15   9     0.212430E+00
   9  15  17   3     0.699775E-01
   9  15  17   7     0.199175E+00
   9  15  19   1     0.699775E-01
   9  15  19   5     0.199175E+00
   9  15  21   3     0.116604E+00
   9  15  23   1     0.116604E+00
  11   1   1   3     0.000000E+00
  11   1   1   7     0.888018E+00
  11   1   1  11     0.136922E+01
  11   1   1  15     0.936490E+00
  11   1   1  19     0.652650E+00
  11   1   1  23     0.337787E+00
  11   1   3   1     0.000000E+00
  11   1   3   5     0.888018E+00
  11   1   3   9     0.136922E+01
  11   1   3  13     0.936490E+00
  11   1   3  17     0.652650E+00
  11   1   3  21     0.337787E+00
  11   1   5   3     -.888018E+00
  11   1   5   7     0.000000E+00
  11   1   5  11     0.177390E+00
  11   1   5  15     0.327126E+00
  11   1   5  19     0.363721E+00
  11   1   7   1     -.888018E+00
  11   1   7   5     0.000000E+00
  11   1   7   9     0.177390E+00
  11   1   7  13     0.327126E+00
  11   1   7  17     0.363721E+00
  11   1   9   3     -.136922E+01
  11   1   9   7     -.177390E+00
  11   1   9  11     0.000000E+00
  11   1   9  15     0.706368E-01
  11   1  11   1     -.136922E+01
  11   1  11   5     -.177390E+00
  11   1  11   9     0.000000E+00
  11   1  11  13     0.706368E-01
  11   1  13   3     -.936490E+00
  11   1  13   7     -.327126E+00
  11   1  13  11     -.706368E-01
  11   1  15   1     -.936490E+00
  11   1  15   5     -.327126E+00
  11   1  15   9     -.706368E-01
  11   1  17   3     -.652650E+00
  11   1  17   7     -.363721E+00
  11   1  19   1     -.652650E+00
  11   1  19   5     -.363721E+00
  11   1  21   3     -.337787E+00
  11   1  23   1     -.337787E+00
  11   5   1   3     0.000000E+00
  11   5   1   7     0.485037E+00
  11   5   1  11     0.177390E+00
  11   5   1  15     0.386287E+00
  11   5   1  19     0.278025E+00
  11   5   1  23     0.266463E+00
  11   5   3   1     0.000000E+00
  11   5   3   5     0.485037E+00
  11   5   3   9     0.177390E+00
  11   5   3  13     0.386287E+00
  11   5   3  17     0.278025E+00
  11   5   3  21     0.266463E+00
  11   5   5   3     -.485037E+00
  11   5   5   7     0.000000E+00
  11   5   5  11     0.471359E+00
  11   5   5  15     0.221855E+00
  11   5   5  19     0.127019E+00
  11   5   7   1     -.485037E+00
  11   5   7   5     0.000000E+00
  11   5   7   9     0.471359E+00
  11   5   7  13     0.221855E+00
  11   5   7  17     0.127019E+00
  11   5   9   3     -.177390E+00
  11   5   9   7     -.471359E+00
  11   5   9  11     0.000000E+00
  11   5   9  15     0.197348E+00
  11   5  11   1     -.177390E+00
  11   5  11   5     -.471359E+00
  11   5  11   9     0.000000E+00
  11   5  11  13     0.197348E+00
  11   5  13   3     -.386287E+00
  11   5  13   7     -.221855E+00
  11   5  13  11     -.197348E+00
  11   5  15   1     -.386287E+00
  11   5  15   5     -.221855E+00
  11   5  15   9     -.197348E+00
  11   5  17   3     -.278025E+00
  11   5  17   7     -.127019E+00
  11   5  19   1     -.278025E+00
  11   5  19   5     -.127019E+00
  11   5  21   3     -.266463E+00
  11   5  23   1     -.266463E+00
  11   9   1   3     0.000000E+00
  11   9   1   7     0.000000E+00
  11   9   1  11     0.000000E+00
  11   9   1  15     0.000000E+00
  11   9   1  19     0.000000E+00
  11   9   1  23     0.000000E+00
  11   9   3   1     0.000000E+00
  11   9   3   5     0.000000E+00
  11   9   3   9     0.000000E+00
  11   9   3  13     0.000000E+00
  11   9   3  17     0.000000E+00
  11   9   3  21     0.000000E+00
  11   9   5   3     0.000000E+00
  11   9   5   7     0.000000E+00
  11   9   5  11     0.000000E+00
  11   9   5  15     0.000000E+00
  11   9   5  19     0.000000E+00
  11   9   7   1     0.000000E+00
  11   9   7   5     0.000000E+00
  11   9   7   9     0.000000E+00
  11   9   7  13     0.000000E+00
  11   9   7  17     0.000000E+00
  11   9   9   3     0.000000E+00
  11   9   9   7     0.000000E+00
  11   9   9  11     0.000000E+00
  11   9   9  15     0.000000E+00
  11   9  11   1     0.000000E+00
  11   9  11   5     0.000000E+00
  11   9  11   9     0.000000E+00
  11   9  11  13     0.000000E+00
  11   9  13   3     0.000000E+00
  11   9  13   7     0.000000E+00
  11   9  13  11     0.000000E+00
  11   9  15   1     0.000000E+00
  11   9  15   5     0.000000E+00
  11   9  15   9     0.000000E+00
  11   9  17   3     0.000000E+00
  11   9  17   7     0.000000E+00
  11   9  19   1     0.000000E+00
  11   9  19   5     0.000000E+00
  11   9  21   3     0.000000E+00
  11   9  23   1     0.000000E+00
  11  13   1   3     0.000000E+00
  11  13   1   7     -.188735E+00
  11  13   1  11     -.706368E-01
  11  13   1  15     -.124707E+00
  11  13   1  19     -.699775E-01
  11  13   1  23     -.116604E+00
  11  13   3   1     0.000000E+00
  11  13   3   5     -.188735E+00
  11  13   3   9     -.706368E-01
  11  13   3  13     -.124707E+00
  11  13   3  17     -.699775E-01
  11  13   3  21     -.116604E+00
  11  13   5   3     0.188735E+00
  11  13   5   7     0.000000E+00
  11  13   5  11     -.197348E+00
  11  13   5  15     -.783060E-01
  11  13   5  19     -.199175E+00
  11  13   7   1     0.188735E+00
  11  13   7   5     0.000000E+00
  11  13   7   9     -.197348E+00
  11  13   7  13     -.783060E-01
  11  13   7  17     -.199175E+00
  11  13   9   3     0.706368E-01
  11  13   9   7     0.197348E+00
  11  13   9  11     0.000000E+00
  11  13   9  15     -.212430E+00
  11  13  11   1     0.706368E-01
  11  13  11   5     0.197348E+00
  11  13  11   9     0.000000E+00
  11  13  11  13     -.212430E+00
  11  13  13   3     0.124707E+00
  11  13  13   7     0.783060E-01
  11  13  13  11     0.212430E+00
  11  13  15   1     0.124707E+00
  11  13  15   5     0.783060E-01
  11  13  15   9     0.212430E+00
  11  13  17   3     0.699775E-01
  11  13  17   7     0.199175E+00
  11  13  19   1     0.699775E-01
  11  13  19   5     0.199175E+00
  11  13  21   3     0.116604E+00
  11  13  23   1     0.116604E+00
